날짜,내용,금액,카테고리,결제수단,구분
2024-01-01,아파트 관리비,260400,관리비,지역화폐,고정비
2024-01-01,도시가스 요금,65200,가스요금,지역화폐,고정비
2024-01-01,김밥천국,7900,식비,롯데카드,변동비
2024-01-01,투썸플레이스,11300,식비,토스공유카드1,변동비
2024-01-01,스타벅스,22800,식비,토스공유카드1,변동비
2024-01-01,지하철,6100,교통,토스공유카드1,변동비
2024-01-02,주택담보대출 이자,408200,대출이자,신한체크카드,고정비
2024-01-02,BBQ 치킨,10300,식비,토스공유카드2,변동비
2024-01-02,시내버스,4900,교통,지역화폐,변동비
2024-01-03,상하수도 요금,25200,공과금,신한체크카드,고정비
2024-01-03,미용실,10500,의류/미용,롯데카드,변동비
2024-01-03,배달의민족,700,식비,토스공유카드1,변동비
2024-01-03,광장시장,24700,전통시장,토스공유카드2,변동비
2024-01-04,관리실 주차비,37100,주거,신한체크카드,고정비
2024-01-04,SK주유소,12600,교통,토스공유카드1,변동비
2024-01-05,한전 전기요금,88700,전기요금,신한체크카드,고정비
2024-01-05,SKT 휴대폰,108500,통신비,신한체크카드,고정비
2024-01-05,CGV,23700,문화/여가,삼성카드,변동비
2024-01-05,김밥천국,16800,식비,토스공유카드2,변동비
2024-01-05,이마트,57800,마트,롯데카드,변동비
2024-01-06,맘스터치,5900,식비,토스공유카드2,변동비
2024-01-06,버거킹,19200,식비,롯데카드,변동비
2024-01-06,카카오 택시,8400,교통,신한체크카드,변동비
2024-01-06,SK주유소,4400,교통,지역화폐,변동비
2024-01-07,버거킹,24700,식비,롯데카드,변동비
2024-01-07,고속버스,6800,교통,지역화폐,변동비
2024-01-08,스타벅스,1200,식비,롯데카드,변동비
2024-01-08,가족 여행 숙박,493500,문화/여가,삼성카드,변동비
2024-01-09,버거킹,10000,식비,삼성카드,변동비
2024-01-09,노브랜드,68000,마트,삼성카드,변동비
2024-01-09,고속버스,7400,교통,지역화폐,변동비
2024-01-09,시내버스,2800,교통,지역화폐,변동비
2024-01-10,투썸플레이스,500,식비,삼성카드,변동비
2024-01-10,카카오 택시,3200,교통,신한체크카드,변동비
2024-01-11,BBQ 치킨,19200,식비,롯데카드,변동비
2024-01-11,경동시장,15900,전통시장,지역화폐,변동비
2024-01-12,배달의민족,10300,식비,삼성카드,변동비
2024-01-12,맘스터치,24500,식비,롯데카드,변동비
2024-01-12,고속버스,3600,교통,지역화폐,변동비
2024-01-13,BBQ 치킨,13300,식비,토스공유카드2,변동비
2024-01-13,김밥천국,20900,식비,롯데카드,변동비
2024-01-13,롯데마트,42300,마트,토스공유카드1,변동비
2024-01-13,경동시장,30200,전통시장,지역화폐,변동비
2024-01-13,카카오 택시,8600,교통,지역화폐,변동비
2024-01-14,BBQ 치킨,9800,식비,삼성카드,변동비
2024-01-15,BBQ 치킨,17900,식비,롯데카드,변동비
2024-01-15,배달의민족,500,식비,롯데카드,변동비
2024-01-15,맘스터치,25200,식비,삼성카드,변동비
2024-01-15,지하철,4500,교통,지역화폐,변동비
2024-01-15,SK주유소,12000,교통,신한체크카드,변동비
2024-01-16,BBQ 치킨,13100,식비,삼성카드,변동비
2024-01-17,배달의민족,13000,식비,토스공유카드2,변동비
2024-01-17,스타벅스,10600,식비,롯데카드,변동비
2024-01-17,망원시장,25400,전통시장,지역화폐,변동비
2024-01-17,고속버스,8600,교통,지역화폐,변동비
2024-01-18,배달의민족,7700,식비,토스공유카드1,변동비
2024-01-18,시내버스,5200,교통,신한체크카드,변동비
2024-01-19,버거킹,500,식비,롯데카드,변동비
2024-01-19,노브랜드,73300,마트,토스공유카드1,변동비
2024-01-20,버거킹,17400,식비,롯데카드,변동비
2024-01-21,버거킹,17800,식비,롯데카드,변동비
2024-01-21,버거킹,16000,식비,삼성카드,변동비
2024-01-21,시내버스,7200,교통,신한체크카드,변동비
2024-01-22,김밥천국,12000,식비,토스공유카드1,변동비
2024-01-22,지하철,5400,교통,지역화폐,변동비
2024-01-22,SK주유소,8600,교통,신한체크카드,변동비
2024-01-23,버거킹,11200,식비,삼성카드,변동비
2024-01-23,BBQ 치킨,6000,식비,롯데카드,변동비
2024-01-23,홈플러스,49600,마트,토스공유카드1,변동비
2024-01-23,광장시장,17100,전통시장,지역화폐,변동비
2024-01-24,배달의민족,11000,식비,토스공유카드1,변동비
2024-01-25,투썸플레이스,24500,식비,삼성카드,변동비
2024-01-25,스타벅스,11100,식비,삼성카드,변동비
2024-01-25,광장시장,24100,전통시장,지역화폐,변동비
2024-01-25,정기 건강검진,171700,의료,롯데카드,변동비
2024-01-26,맘스터치,5900,식비,토스공유카드2,변동비
2024-01-26,배달의민족,16100,식비,토스공유카드2,변동비
2024-01-26,시내버스,5800,교통,지역화폐,변동비
2024-01-26,시내버스,5400,교통,지역화폐,변동비
2024-01-27,버거킹,16400,식비,토스공유카드1,변동비
2024-01-27,투썸플레이스,7200,식비,토스공유카드1,변동비
2024-01-27,배달의민족,800,식비,롯데카드,변동비
2024-01-27,카카오 택시,13200,교통,신한체크카드,변동비
2024-01-28,CU 편의점,15200,식비,토스공유카드2,변동비
2024-01-28,맘스터치,6100,식비,토스공유카드1,변동비
2024-01-28,롯데마트,79600,마트,롯데카드,변동비
2024-01-28,시내버스,7000,교통,토스공유카드1,변동비
2024-01-28,카카오 택시,9100,교통,토스공유카드1,변동비
2024-01-29,맘스터치,11900,식비,토스공유카드1,변동비
2024-01-29,고속버스,4700,교통,지역화폐,변동비
2024-01-30,투썸플레이스,6300,식비,토스공유카드1,변동비
2024-01-31,CU 편의점,500,식비,토스공유카드2,변동비
2024-01-31,시내버스,6200,교통,토스공유카드1,변동비
2024-02-01,도시가스 요금,68600,가스요금,신한체크카드,고정비
2024-02-01,상하수도 요금,20200,공과금,신한체크카드,고정비
2024-02-01,버거킹,5300,식비,토스공유카드2,변동비
2024-02-02,한전 전기요금,79600,전기요금,신한체크카드,고정비
2024-02-02,버거킹,5400,식비,롯데카드,변동비
2024-02-02,홈플러스,103400,마트,삼성카드,변동비
2024-02-02,지하철,4900,교통,신한체크카드,변동비
2024-02-03,아파트 관리비,246300,관리비,지역화폐,고정비
2024-02-03,김밥천국,16200,식비,토스공유카드2,변동비
2024-02-03,지하철,12200,교통,신한체크카드,변동비
2024-02-03,SK주유소,2700,교통,지역화폐,변동비
2024-02-04,관리실 주차비,41200,주거,신한체크카드,고정비
2024-02-04,버거킹,13300,식비,토스공유카드2,변동비
2024-02-04,김밥천국,500,식비,토스공유카드2,변동비
2024-02-04,김밥천국,11800,식비,토스공유카드2,변동비
2024-02-04,시내버스,12600,교통,신한체크카드,변동비
2024-02-05,KT 인터넷+TV,93100,통신비,삼성카드,고정비
2024-02-05,주택담보대출 이자,434400,대출이자,신한체크카드,고정비
2024-02-05,교보문고,22900,문화/여가,롯데카드,변동비
2024-02-05,배달의민족,20800,식비,롯데카드,변동비
2024-02-05,맘스터치,7800,식비,토스공유카드2,변동비
2024-02-05,스타벅스,16000,식비,토스공유카드1,변동비
2024-02-06,투썸플레이스,9700,식비,토스공유카드1,변동비
2024-02-06,투썸플레이스,13000,식비,롯데카드,변동비
2024-02-06,광장시장,26100,전통시장,지역화폐,변동비
2024-02-06,지하철,8300,교통,지역화폐,변동비
2024-02-07,스타벅스,500,식비,삼성카드,변동비
2024-02-07,스타벅스,9600,식비,삼성카드,변동비
2024-02-07,고속버스,8300,교통,토스공유카드1,변동비
2024-02-08,맘스터치,13700,식비,토스공유카드1,변동비
2024-02-08,맘스터치,8900,식비,롯데카드,변동비
2024-02-08,버거킹,500,식비,토스공유카드2,변동비
